Region, CO2 total output emission rate (lb/MWh) by state 2023, Year
US,767.25,2023
ALABAMA,710.988,2023
ALASKA,809.824,2023
ARIZONA,686.688,2023
ARKANSAS,993.413,2023
CALIFORNIA,393.486,2023
COLORADO,1085.021,2023
CONNECTICUT,538.266,2023
DELAWARE,703.194,2023
DISTRICT OF COLUMBIA,394.099,2023
FLORIDA,786.926,2023
GEORGIA,713.831,2023
HAWAII,1385.131,2023
IDAHO,313.292,2023
ILLINOIS,471.705,2023
INDIANA,1457.19,2023
IOWA,630.187,2023
KANSAS,728.16,2023
KENTUCKY,1735.009,2023
LOUISIANA,761.404,2023
MAINE,311.824,2023
MARYLAND,520.022,2023
MASSACHUSETTS,822.39,2023
MICHIGAN,793.171,2023
MINNESOTA,747.545,2023
MISSISSIPPI,826.335,2023
MISSOURI,1444.137,2023
MONTANA,1056.167,2023
NEBRASKA,1018.154,2023
NEVADA,642.37,2023
NEW HAMPSHIRE,272.854,2023
NEW JERSEY,468.31,2023
NEW MEXICO,770.214,2023
NEW YORK,465.136,2023
NORTH CAROLINA,623.958,2023
NORTH DAKOTA,1288.364,2023
OHIO,1063.843,2023
OKLAHOMA,647.207,2023
OREGON,364.162,2023
PENNSYLVANIA,646.182,2023
PUERTO RICO,1543.073,2023
RHODE ISLAND,839.136,2023
SOUTH CAROLINA,557.173,2023
SOUTH DAKOTA,334.032,2023
TENNESSEE,657.267,2023
TEXAS,768.317,2023
UTAH,1413.019,2023
VERMONT,42.981,2023
VIRGINIA,536.851,2023
WASHINGTON,265.119,2023
WEST VIRGINIA,1954.383,2023
WISCONSIN,1156.996,2023
WYOMING,1820.318,2023
