Region, CO2 total output emission rate (lb/MWh) by state 2018, Year
US,947.182,2018
ALABAMA,863.968,2018
ALASKA,907.523,2018
ARIZONA,967.044,2018
ARKANSAS,1211.332,2018
CALIFORNIA,420.389,2018
COLORADO,1362.569,2018
CONNECTICUT,506.367,2018
DELAWARE,898.258,2018
DISTRICT OF COLUMBIA,438.874,2018
FLORIDA,943.311,2018
GEORGIA,926.448,2018
HAWAII,1513.324,2018
IDAHO,160.207,2018
ILLINOIS,812.873,2018
INDIANA,1736.525,2018
IOWA,1069.904,2018
KANSAS,989.304,2018
KENTUCKY,1822.171,2018
LOUISIANA,836.039,2018
MAINE,257.747,2018
MARYLAND,835.748,2018
MASSACHUSETTS,727.577,2018
MICHIGAN,1108.304,2018
MINNESOTA,995.409,2018
MISSISSIPPI,916.952,2018
MISSOURI,1699.6,2018
MONTANA,1157.104,2018
NEBRASKA,1406.35,2018
NEVADA,744.814,2018
NEW HAMPSHIRE,299.465,2018
NEW JERSEY,500.098,2018
NEW MEXICO,1333.16,2018
NEW YORK,417.087,2018
NORTH CAROLINA,799.572,2018
NORTH DAKOTA,1505.242,2018
OHIO,1321.468,2018
OKLAHOMA,889.655,2018
OREGON,313.024,2018
PENNSYLVANIA,784.28,2018
RHODE ISLAND,867.858,2018
SOUTH CAROLINA,630.512,2018
SOUTH DAKOTA,516.812,2018
TENNESSEE,743.584,2018
TEXAS,979.062,2018
UTAH,1598.008,2018
VERMONT,45.127,2018
VIRGINIA,739.345,2018
WASHINGTON,198.614,2018
WEST VIRGINIA,1945.883,2018
WISCONSIN,1386.866,2018
WYOMING,2048.399,2018
