Region, CO2 total output emission rate (lb/MWh) by state 2021, Year
US,852.3,2021
ALABAMA,750.8,2021
ALASKA,920.015,2021
ARIZONA,724.809,2021
ARKANSAS,1086.931,2021
CALIFORNIA,479.005,2021
COLORADO,1216.915,2021
CONNECTICUT,515.143,2021
DELAWARE,867.498,2021
DISTRICT OF COLUMBIA,651.672,2021
FLORIDA,834.138,2021
GEORGIA,758.082,2021
HAWAII,1490.972,2021
IDAHO,271.34,2021
ILLINOIS,653.049,2021
INDIANA,1632.59,2021
IOWA,768.928,2021
KANSAS,838.186,2021
KENTUCKY,1727.086,2021
LOUISIANA,826.042,2021
MAINE,301.041,2021
MARYLAND,698.189,2021
MASSACHUSETTS,851.43,2021
MICHIGAN,1003.757,2021
MINNESOTA,825.973,2021
MISSISSIPPI,833.952,2021
MISSOURI,1636.06,2021
MONTANA,1045.024,2021
NEBRASKA,1124.84,2021
NEVADA,715.075,2021
NEW HAMPSHIRE,304.042,2021
NEW JERSEY,480.917,2021
NEW MEXICO,1134.307,2021
NEW YORK,455.345,2021
NORTH CAROLINA,669.484,2021
NORTH DAKOTA,1340.686,2021
OHIO,1208.18,2021
OKLAHOMA,753.545,2021
OREGON,325.804,2021
PENNSYLVANIA,726.431,2021
PUERTO RICO,1558.024,2021
RHODE ISLAND,832.723,2021
SOUTH CAROLINA,567.026,2021
SOUTH DAKOTA,302.919,2021
TENNESSEE,698.276,2021
TEXAS,856.438,2021
UTAH,1560.502,2021
VERMONT,36.045,2021
VIRGINIA,599.211,2021
WASHINGTON,201.827,2021
WEST VIRGINIA,1944.146,2021
WISCONSIN,1267.122,2021
WYOMING,1833.918,2021
